==============================================================================
MEDIA-PLAYBACK-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: dom/media   Since: 2025-12-03T18:46:16Z
Excluded paths: dom/media/webrtc, dom/media/systemservices
Authors: 63    Patches: 681    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Alastor Wu  —  88 patch(es)
    ----------------------------------------------------------------------
      2026-01-13  2128fd733f16  Bug 2009772 - Part 2. Make FFmpegVideoDecoder configure the codec to allow supplying csd-0/csd-1 for H264 MediaCodec decoders. r=media-playback-reviewers,padenot
      2026-01-13  c5b68f55a3ae  Bug 2009846 - Ignore dispatch errors in FFmpegVideoDecoder::QueueResumeDrain. r=media-playback-reviewers,padenot
      2026-01-13  6aaa57baa170  Bug 2009880 - Make dom/media/mediasource/test/test_FrameSelection_mp4.html work with ffvpx on Android. r=media-playback-reviewers,padenot
      2026-01-13  df808ad5ffee  Bug 2009882 - Add fuzz for reftests with ffvpx on Android. r=media-playback-reviewers,padenot
      2026-01-13  2648c60d82bf  Bug 2008461 - Update dom/media/test/test_can_play_type_mpeg.html for ffvpx on Android. r=media-playback-reviewers,karlt
      2026-01-08  763fd288773d  Bug 2009205 - Supply packet pts in FFmpegAudioDecoder to suppress log warnings. r=media-playback-reviewers,alwu
      2026-01-08  c199318144ce  Bug 2008354 - Part 5. Use map to track durations for MediaCodec encoders. r=media-playback-reviewers,padenot
      2026-01-08  f58ac665285a  Bug 2008354 - Part 4. Handle input sample conversions from YUV420P and NV12. r=media-playback-reviewers,jolin
      2026-01-08  f5986df439c7  Bug 2008354 - Part 3. Handle AnnexB output from encoders when AVCC requested. r=media-playback-reviewers,jolin
      2026-01-08  729e32cb210d  Bug 2008354 - Part 2. Ensure we configure H264 MediaCodec encoders properly. r=media-playback-reviewers,jolin
      2026-01-08  b00727bfd190  Bug 2008354 - Part 1. Ensure we select MediaCodec encoders when appropriate on Android. r=media-playback-reviewers,jolin,padenot
      2026-01-08  6b239e496c39  Bug 2008385 - Remote encoders/decoders should always check if manager thread has shutdown. r=media-playback-reviewers,padenot
      2026-01-07  1f4c1dae040f  Bug 1976929 - Don't assume MediaChangeMonitor::mDecodePromise is set after dispatching. r=media-playback-reviewers,padenot
      2026-01-05  c4e4daedd249  Bug 2008422 - Allow H264/HEVC MediaCodec decoders in parent process for gtests. r=media-playback-reviewers,jolin
      2026-01-05  dd2ab66fbfaa  Bug 2008328 - Use const with FFmpegLibWrapper* consistently. r=media-playback-reviewers,karlt
      2026-01-02  ddafaa057aca  Bug 2008270 - Consolidate encoder functionality that extracts AVCC extradata from AnnexB samples. r=media-playback-reviewers,jolin,alwu
      2025-12-31  c068abb18e26  Bug 2008102 - Make Android gtests be able to load libmozavutil and libmozavcodec for ffvpx. r=media-playback-reviewers,jolin
      2025-12-24  111413f36789  Bug 2005011 - Part 7. Update ffmpeg configuration to be more accurate on Android. r=media-playback-reviewers,padenot
      2025-12-24  de12d1b691fc  Bug 2005011 - Part 6. Shuffle FFmpegDecoderModule member variable initialization. r=media-playback-reviewers,padenot
      2025-12-24  182d9ca987fb  Bug 2005011 - Part 5. Ensure we initialize FFmpegEncoderModule for advertising hardware support. r=media-playback-reviewers,padenot
      2025-12-24  333565f56164  Bug 2005011 - Part 4. Remove redundant gfxVars for VP8 HW decoding status. r=media-playback-reviewers,padenot
      2025-12-24  cc59d41bd7cc  Bug 2005011 - Part 2. Move AV1 main profile check from AndroidDecoderModule to AOMDecoder. r=media-playback-reviewers,padenot
      2025-12-23  654d670b05e5  Bug 2005011 - Part 7. Update ffmpeg configuration to be more accurate on Android. r=media-playback-reviewers,padenot
      2025-12-23  51ea564fcaef  Bug 2005011 - Part 6. Shuffle FFmpegDecoderModule member variable initialization. r=media-playback-reviewers,padenot
      2025-12-23  e19013799e22  Bug 2005011 - Part 5. Ensure we initialize FFmpegEncoderModule for advertising hardware support. r=media-playback-reviewers,padenot
      2025-12-23  b6b226f9e94f  Bug 2005011 - Part 4. Remove redundant gfxVars for VP8 HW decoding status. r=media-playback-reviewers,padenot
      2025-12-23  08d019b2ab6f  Bug 2005011 - Part 2. Move AV1 main profile check from AndroidDecoderModule to AOMDecoder. r=media-playback-reviewers,padenot
      2025-12-10  67d3b441bf4f  Bug 2005096 - Expose MediaCodec ffmpeg decoder properties for Android. r=media-playback-reviewers,padenot
      2025-12-10  7742bfaf3827  Bug 2005119 - FFmpegDataEncoder::FindSoftwareEncoder should not allow fallback to hardware encoders. r=media-playback-reviewers,padenot
      2025-12-10  1c2b6611749e  Bug 2005092 - Wait for RemoteMediaDataEncoderChild::Construct to resolve before handling Init. r=media-playback-reviewers,karlt
      2025-12-04  796180247bf5  Bug 2004119 - Add support for ffmpeg audio decryption for EME playback on Android. r=media-playback-reviewers,jolin
      2025-12-04  f39ec41ab8aa  Bug 2004118 - MediaCodec NDK requires at least one subsample for whole sample encrypted blocks. r=media-playback-reviewers,jolin
      2025-12-04  7dd78ad473f3  Bug 2003943 - MediaDrmRemoteCDMParent::CreateCryptoInfo should use mConstantIV instead of IV for CBCS. r=media-playback-reviewers,jolin

[ 3] Paul Adenot  —  67 patch(es)
    ----------------------------------------------------------------------
      2026-05-22  6709f39e971d  Bug 2008586 - Don't create HRTFDatabaseLoader after shutdown. r=karlt
      2026-05-18  36c4a6d9258c  Bug 2025512 - Fix AsyncLogger thread safety and shutdown. r=azebrowski
      2026-05-11  6071e11421db  Bug 2035883 - Enable >8ch Opus encoding by setting mapping_family to 255. r=media-playback-reviewers,alwu
      2026-05-06  4393b7b7ea81  Bug 2032944 - Fix Vorbis preroll crash by using INT64_MIN as unset granulepos sentinel. r=media-playback-reviewers,alwu
      2026-05-05  555402b1af8c  Bug 2032944 - Fix Vorbis preroll crash by using INT64_MIN as unset granulepos sentinel. r=media-playback-reviewers,alwu
      2026-05-05  6ba279282fc7  Bug 2037097 - Assert FFMPEG_MAX_MAJOR_VERSION stays in sync with sonames and AV_FUNC bindings. r=azebrowski,media-playback-reviewers
      2026-05-05  9eb28eae3c23  Bug 2032944 - Fix Vorbis preroll crash by using INT64_MIN as unset granulepos sentinel. r=media-playback-reviewers,alwu
      2026-04-29  1da0bcec0175  Bug 2035081 - Cap num_ref_frames_in_pic_order_cnt_cycle to 255 per spec. r=media-playback-reviewers,kinetik
      2026-04-21  009db636bf82  Bug 2030006 - Don't warn in gtest when brand name URL cannot be resolved. r=pehrsons
      2026-04-21  8e91a2ecd40d  Bug 2028526 - Clear SpeechTaskChild::mActor when SpeechSynthesisRequestChild is destroyed. r=eeejay
      2026-04-14  c2a2c552694b  Bug 2029700 - r=media-playback-reviewers,alwu
      2026-04-09  9a9a9af6741f  Bug 2029440 - r=media-playback-reviewers,alwu
      2026-04-09  971056beb0f8  Bug 2029440 - r=media-playback-reviewers,alwu
      2026-04-07  abcf3efb3ed5  Bug 1859400 - Add regression tests for Windows HEVC hvcc SEI filtering. r=alwu
      2026-04-07  122d8e167e1c  Bug 1859400 - Filter user_data_unregistered SEI from HEVC AnnexB extradata on Windows. r=alwu
      2026-03-30  e01fe3f6cadc  Bug 2023228 - Remove explicit pass-through StreamJSONMarkerData from BaseMarkerType-derived markers. r=canaltinova,profiler-reviewers
      2026-03-30  675ee68c723b  Bug 2027160 - Fix VBR header state confusion in MP3 demuxer r=media-playback-reviewers,aosmond
      2026-03-30  8b5820a0b4a2  Bug 2021222 - Cancel SpeechSynthesis when the page navigates away. r=eeejay
      2026-03-27  d87bc14248b0  Bug 2024771 - nsSpeechTask::Pause and Resume can dispatch synchronous DOM events that free this. r=eeejay
      2026-03-27  f83eb9c9a0ec  Bug 2024774 - Hold a strong ref to VoiceData in nsSynthVoiceRegistry::RemoveVoice. r=eeejay
      2026-03-27  972701e40c1c  Bug 2024470 - Hold strong refs in SpeechSynthesis::Cancel and nsSpeechTask::Cancel. r=eeejay
      2026-03-25  38275f495a34  Bug 2024771 - nsSpeechTask::Pause and Resume can dispatch synchronous DOM events that free this. r=eeejay
      2026-03-25  3b5a5a46c3df  Bug 2024774 - Hold a strong ref to VoiceData in nsSynthVoiceRegistry::RemoveVoice. r=eeejay
      2026-03-25  c43ec08c2ae5  Bug 2024470 - Hold strong refs in SpeechSynthesis::Cancel and nsSpeechTask::Cancel. r=eeejay
      2026-03-20  3a22f7c108db  Bug 2011539 - Handle RLBoxSoundTouch init failure gracefully in AudioDecoderInputTrack. r=pehrsons
      2026-03-17  f7ddadb67fe4  Bug 2020714 - Remove IsMacbookOrMacbookAir workaround in GraphDriver. r=karlt
      2026-03-16  6aa3fee78c29  Bug 2022305 - Don't call CubebUtils::InitLibrary in child process. r=pehrsons
      2026-03-16  ee4105f0e4ff  Bug 1536243 - Use av_mallocz to zero FFmpeg extradata padding. r=media-playback-reviewers,jolin
      2026-03-13  23b6d95561b0  Bug 2010894 - Lower minimum AudioContext sampleRate to 3000 Hz per spec. r=karlt
      2026-03-13  7171193d1f87  Bug 2021184 - Fix on-the-fly reconfiguration in FFmpeg and AppleVT encoders r=media-playback-reviewers,jolin
      2026-03-13  1a319bd1af46  Bug 2021420 - Fix VideoFrame display size overflow past INT32_MAX. r=alwu
      2026-03-13  9bd044dc1fa0  Bug 2014888 - Don't issue a data request when seeking in MDSM. r=alwu,media-playback-reviewers
      2026-03-10  aa8670308e9d  Bug 2010894 - Lower minimum AudioContext sampleRate to 3000 Hz per spec. r=karlt
      2026-03-04  56c8b9bcea89  Bug 2014896 - Fix PannerNode LinearGainFunction NaN crash when maxDistance <= refDistance. r=karlt,media-playback-reviewers
      2026-03-04  a96b2762eaf4  Bug 2011946 - Tests. r=media-playback-reviewers,alwu
      2026-03-04  61b2cb729b65  Bug 2011946 - r=media-playback-reviewers,karlt
      2026-02-26  210567b7bda8  Bug 2013874 - Adjust audioipc API changes, and initialize brand name before it's needed in CubebUtils.cpp. r=cubeb-reviewers,pehrsons
