==============================================================================
GFX-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: gfx, image, dom/canvas, dom/webgpu   Since: 2025-12-06T21:52:34Z
Excluded paths: gfx/angle, gfx/cairo, gfx/skia, gfx/harfbuzz, gfx/ots, gfx/sfntly, gfx/graphite2
Authors: 105    Patches: 1348    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Nicolas Silva  —  229 patch(es)
    ----------------------------------------------------------------------
      2026-02-11  cc6c02860896  Bug 2015400 - Properly extrude AA segments when a subset of edges are anti-aliased. r=gw
      2026-02-11  790b9d62a293  Bug 2015400 - Wire up edge flags properly for quad primitives. r=gw
      2026-02-11  e9b9bf6c88fc  Bug 2015400 - Only anti-alias the selected edges in the quad shader. r=gw
      2026-02-11  82344af2f6e7  Bug 2015400 - Fix incorrect parameters in quad AA segments. r=gw
      2026-02-10  be6da4b9604e  Bug 1998432 - Rename EdgeAaSegmentMask into EdgeMask. r=gw
      2026-02-10  afc17ea1b5ed  Bug 1998432 - Add a GpuBufferBuilderF/I convenience method to push a single sequence of blocks. r=gw
      2026-02-10  1b69b22734ce  Bug 1998432 - Build prim-space clip quad primitive using the primitive's layout space rect. r=gw
      2026-02-10  65fdbc88a9dc  Bug 1998432 - Use device space for quads that have simple transforms. r=gw
      2026-02-09  e7f1cf18739c  Bug 1998432 - Remove unused device pixel scale parameter. r=gw
      2026-02-09  95080985cea7  Bug 1998432 - Remove unused raster node member in PrimTask. r=gw
      2026-02-09  42c05e348e75  Bug 2013919 - Express quad gradient coordinates relative to the primitive's spatial node. r=gw
      2026-02-05  e1f7e98acec7  Bug 2013343 - Don't recreate the same primitive blocks for all tiles in the common case. r=gw
      2026-02-05  b4522ef74fc0  Bug 2013343 - Avoid tiling quads if the primitive is has a complex transform. r=gw
      2026-02-05  ac46daa32112  Bug 2013343 - Do the tile classification in device space. r=gw
      2026-02-05  fcee302c2782  Bug 2013343 - Move the quad tiling code into its own function. r=gw
      2026-02-05  249fa8308c4c  Bug 2013343 - Move the nine-patch code into a separate function. r=gw
      2026-02-05  8da47a835f51  Bug 2013343 - Map directly from local to device space in the nine-patch path. r=gw
      2026-01-30  9ecf3b1be2e0  Bug 2012675 - Use device space instead of world space for raster space clips. r=gw
      2026-01-30  681504882b6a  Bug 2012675 - Remove the device pixel scale from quad shaders. r=gw
      2026-01-30  a750d351f2e9  Bug 2012675 - Add an optional device pixel scale to the transform palette. r=gw
      2026-01-29  f82b6cac6363  Bug 2011700 - Fix missing clip prepare_quad_impl. r=gfx-reviewers,jnicol
      2026-01-27  4b8501e80ba3  Bug 2011700 - Fix missing clip prepare_quad_impl. r=gfx-reviewers,jnicol
      2026-01-26  1089ae0cb410  Bug 2011881 - Check the coordinate spaces doc into the tree. r=gw
      2026-01-26  4b0abb50908b  Bug 2011881 - Document the coordinate spaces of ClipSpaceConversion. r=gw
      2026-01-22  67b49672752e  Bug 2010527 - Part 14 - Split ClipSubTask into two variants. r=gw
      2026-01-22  dc9012b394db  Bug 2010527 - Part 13 - Remove unused PicturePrimitive::is_opaque. r=gw
      2026-01-22  c5a93bb3b1c5  Bug 2010527 - Part 12 - Remove now unused task sub-passes. r=gw
      2026-01-22  aa06c73a77d8  Bug 2010527 - Part 11 - Prepare box-shadow clip tasks during the prepapre phase. r=gw
      2026-01-22  91f8539decde  Bug 2010527 - Part 10 - Prepare quad clip tasks during the prepare phase. r=gw
      2026-01-22  b494727f4cc5  Bug 2010527 - Part 9 - Prepare picture clip tasks during thre prepare phase. r=gw
      2026-01-22  0927ec8bdd67  Bug 2010527 - Part 8 - Add sub-tasks to the render graph. r=gw
      2026-01-22  0f122d8471e1  Bug 2010527 - Part 7 - Move ClipSubTask and prepare_clip_task. r=gw
      2026-01-22  68f15f9dfa83  Bug 2010527 - Part 6 - Add the transform palette to the pattern builder state. r=gw
      2026-01-22  54c61483295c  Bug 2010527 - Part 5 - Separate the preparation and batching logic of clip sub-passes. r=gw
      2026-01-22  4126b72478bb  Bug 2011474 - Implement Debug for some ID types manually. r=gfx-reviewers,gw
      2026-01-20  cb964e8f07d2  Bug 2010527 - Part 4 - Add a flag in GpuTransformId to track scale-offset transforms. r=gw
      2026-01-20  9d2588cdfe62  Bug 2010527 - Part 3 - Move the transform palette's gpu transforms into a dedicated container inside TransformPalette. r=gw
      2026-01-20  d77f5e996f09  Bug 2010527 - Part 2 - Rename TransformPaletteId into GpuTransformId. r=gw
      2026-01-20  20d53b502cd8  Bug 2010527 - Part 1 - Move the transform palette into a new transform module. r=gw
      2026-01-19  9a6aa17bf68a  Bug 2011301 - Update euclid dependency to 0.22.13. r=gfx-reviewers,supply-chain-reviewers,jnicol
      2026-01-15  b3d1f788dba3  Bug 2006108 - Extract most of the compositing code out of renderer/mod.rs. r=gfx-reviewers,gw
      2026-01-15  42ff91713052  Bug 2006108 - Extract external image code from renderer/mod.rs. r=gfx-reviewers,gw
      2026-01-14  2acd822b75f1  Bug 2009395 - Give GPU buffer addresses 26 bits instead of 24. r=gfx-reviewers,lsalzman
      2026-01-14  bd93003c042c  Bug 2009392 - Use round instead of round-out for the quad rect. r=gw
      2026-01-08  44663f537543  Bug 2006848 - Add an internal unique identifier to spatial nodes and make it part of the quad cache key. r=gw
      2026-01-05  34d11e544e54  Bug 2006108 - Extract most of the compositing code out of renderer/mod.rs. r=gfx-reviewers,gw
      2026-01-05  024c331d79cc  Bug 2006108 - Extract external image code from renderer/mod.rs. r=gfx-reviewers,gw
      2025-12-16  7a78468a72ff  Bug 1978773 - Enable precise linear gradients when using SWGL. r=gfx-reviewers,lsalzman
      2025-12-16  e95d105ba8f0  Bug 1978773 - Enable precise linear gradients when using SWGL. r=gfx-reviewers,lsalzman
      2025-12-15  ce6a636d75a2  Bug 1998913 - Part 17 - Remove unnecessary reexports. r=gfx-reviewers,gw
      2025-12-15  0e2616357053  Bug 1998913 - Part 16 - Rename invalidation::dependency into invalidation::compare. r=gfx-reviewers,gw
      2025-12-15  30f39fabcdce  Bug 1998913 - Part 15 - Move PrimitiveDescriptor and TileDescriptor from tile_cache to cached_surface. r=gfx-reviewers,gw
      2025-12-15  800255b55030  Bug 1998913 - Part 14 - Extract caching logic from the Tile struct. r=gfx-reviewers,gw
      2025-12-15  d6393e58a45a  Bug 1998913 - Part 13 - Inline PicturePrimitive::pre_update. r=gfx-reviewers,jnicol
